"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADContact","AzureAD","Get-MgContact","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;OrgContact.Read.All","GET /contacts","True","False"
"Remove-MsolServicePrincipal","MSOnline","Remove-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","DELETE /servicePrincipals/{servicePrincipal-id}","True","False"
"Remove-MsolDevice","MSOnline","Remove-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","DELETE /devices/{device-id}","True","False"
"New-AzureADGroupAppRoleAssignment","AzureAD","New-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","POST /groups/{group-id}/appRoleAssignments","True","False"
"Remove-AzureADServiceAppRoleAssignment","AzureAD","Remove-MgServicePrincipalAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","DELETE /servicePrincipals/{servicePrincipal-id}/appRoleAssignments/{appRoleAssignment-id}","True","False"
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","","GET /directory/deletedItems","True","False"
"Set-AzureADUserPassword","AzureAD","Update-MgUserPassword","Microsoft.Graph.Users.Actions","Directory.AccessAsUser.All","POST /users/{user-id}/changePassword","True","False"
"Get-AzureADExtensionProperty","AzureAD","Get-MgDirectoryObjectAvailableExtensionProperty","Microsoft.Graph.DirectoryObjects","","POST /directoryObjects/getAvailableExtensionProperties","True","False"
"Get-MsolUserRole","MSOnline","Get-MgUserMemberOf","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;GroupMember.Read.All;User.Read","GET /users/{user-id}/memberOf","True","False"
"Remove-AzureADContact","AzureAD","Remove-MgContact","Microsoft.Graph.Identity.DirectoryManagement","","DELETE /contacts/{orgContact-id}","True","False"
"Get-AzureADApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /applications/{application-id}/owners","True","False"
"Remove-AzureADMSPermissionGrantPolicy","AzureAD","Remove-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","DELETE /policies/permissionGrantPolicies/{permissionGrantPolicy-id}","True","False"
