"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADContact","AzureAD","Get-MgContact","","ObjectId","","","","False","False"
"Get-AzureADContact","AzureAD","Get-MgContact","","All","All","","","False","False"
"Get-AzureADContact","AzureAD","Get-MgContact","","Top","Top","","","False","False"
"Get-AzureADContact","AzureAD","Get-MgContact","","Filter","Filter","","","False","False"
"Remove-MsolServicePrincipal","MSOnline","Remove-MgServicePrincipal","","ObjectId","","","","False","False"
"Remove-MsolServicePrincipal","MSOnline","Remove-MgServicePrincipal","","AppPrincipalId","","","","False","False"
"Remove-MsolServicePrincipal","MSOnline","Remove-MgServicePrincipal","","ServicePrincipalName","","","","False","False"
"Remove-MsolServicePrincipal","MSOnline","Remove-MgServicePrincipal","","TenantId","","","","False","False"
"Remove-MsolDevice","MSOnline","Remove-MgDevice","","DeviceId","DeviceId","","","False","False"
"Remove-MsolDevice","MSOnline","Remove-MgDevice","","Force","","","","False","False"
"Remove-MsolDevice","MSOnline","Remove-MgDevice","","ObjectId","","","","False","False"
"New-AzureADGroupAppRoleAssignment","AzureAD","New-MgGroupAppRoleAssignment","","ObjectId","","","","False","False"
"New-AzureADGroupAppRoleAssignment","AzureAD","New-MgGroupAppRoleAssignment","","Id","Id","","","False","False"
"New-AzureADGroupAppRoleAssignment","AzureAD","New-MgGroupAppRoleAssignment","","PrincipalId","PrincipalId","","","False","False"
"New-AzureADGroupAppRoleAssignment","AzureAD","New-MgGroupAppRoleAssignment","","ResourceId","ResourceId","","","False","False"
"Remove-AzureADServiceAppRoleAssignment","AzureAD","Remove-MgServicePrincipalAppRoleAssignment","","ObjectId","","","","False","False"
"Remove-AzureADServiceAppRoleAssignment","AzureAD","Remove-MgServicePrincipalAppRoleAssignment","","AppRoleAssignmentId","AppRoleAssignmentId","","","False","False"
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","","SearchString","","","","False","False"
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","","Id","","","","False","False"
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","","All","All","","","False","False"
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","","Top","Top","","","False","False"
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","","Filter","Filter","","","False","False"
"Set-AzureADUserPassword","AzureAD","Update-MgUserPassword","","ObjectId","","","","False","False"
"Set-AzureADUserPassword","AzureAD","Update-MgUserPassword","","Password","","","","False","False"
"Set-AzureADUserPassword","AzureAD","Update-MgUserPassword","","ForceChangePasswordNextLogin","","","","False","False"
"Set-AzureADUserPassword","AzureAD","Update-MgUserPassword","","EnforceChangePasswordPolicy","","","","False","False"
"Get-AzureADExtensionProperty","AzureAD","Get-MgDirectoryObjectAvailableExtensionProperty","","IsSyncedFromOnPremises","IsSyncedFromOnPremises","","","False","False"
